	Heater Time	Heater 6 	Heater 7	Heater 8	Heater 9	Heater 10	Heater 11	Heater 12	Heater 13	Heater 14	Heater 15	Heater 16	Heater 17	Program Time	MFC 1	MFC Time	Cycles Remaining	Recipe	Loop
	188.3	199.7	199.0	199.8	199.9	36.2	56.3	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766151.8	19.916	189.091	185	Thermal Al2O3 STANDARD	
	190.3	200.0	199.1	200.0	199.8	36.1	56.2	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766154.8	19.861	192.091	185	Thermal Al2O3 STANDARD	
	194.3	199.9	199.2	200.1	200.0	36.2	56.2	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766157.8	19.916	195.091	185	Thermal Al2O3 STANDARD	
	196.3	199.7	198.9	199.8	199.6	36.1	56.2	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766160.8	19.885	198.090	185	Thermal Al2O3 STANDARD	
	200.3	199.9	199.1	200.1	199.9	36.2	56.1	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766163.8	19.879	201.091	185	Thermal Al2O3 STANDARD	
	202.3	199.9	199.1	200.0	199.9	36.2	56.1	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766166.8	19.879	204.091	185	Thermal Al2O3 STANDARD	
	206.3	200.0	199.1	200.0	199.9	36.1	56.0	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766169.8	19.904	207.091	185	Thermal Al2O3 STANDARD	
	208.3	199.9	199.1	200.0	199.9	36.1	56.0	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766172.8	19.910	210.091	185	Thermal Al2O3 STANDARD	
	212.3	200.0	199.1	200.0	199.9	36.2	56.0	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766175.8	19.879	213.090	185	Thermal Al2O3 STANDARD	
	214.3	199.9	199.1	200.0	199.9	36.1	56.0	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766178.8	19.879	216.090	185	Thermal Al2O3 STANDARD	
	218.3	199.9	199.1	200.0	199.9	36.1	55.9	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766181.8	19.940	219.091	185	Thermal Al2O3 STANDARD	
	220.3	200.0	199.1	200.0	200.0	36.2	55.9	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766184.8	19.885	222.092	185	Thermal Al2O3 STANDARD	
	224.3	200.1	199.2	200.1	200.0	36.2	56.0	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766187.8	19.928	225.091	185	Thermal Al2O3 STANDARD	
	226.3	199.8	199.0	199.9	199.9	36.1	55.9	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766190.8	19.861	228.091	185	Thermal Al2O3 STANDARD	
	230.3	199.9	199.1	199.9	200.0	36.2	55.9	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766193.8	19.904	231.090	185	Thermal Al2O3 STANDARD	
	232.3	200.0	199.1	200.0	200.0	36.2	55.8	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766196.8	19.891	234.090	185	Thermal Al2O3 STANDARD	
	236.3	199.9	199.1	200.0	200.0	36.2	55.8	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766199.8	19.897	237.091	185	Thermal Al2O3 STANDARD	
	238.3	200.0	199.1	199.9	199.9	36.1	55.8	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766202.8	19.952	240.091	185	Thermal Al2O3 STANDARD	
	242.3	199.9	199.0	200.0	200.0	36.1	55.7	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766205.8	19.885	243.091	185	Thermal Al2O3 STANDARD	
	244.3	200.2	199.2	200.1	200.1	36.2	55.8	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766208.8	19.928	246.091	185	Thermal Al2O3 STANDARD	
	248.3	200.0	199.2	199.8	199.8	36.1	55.6	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766211.8	19.891	249.090	185	Thermal Al2O3 STANDARD	
	250.3	200.0	199.0	200.0	200.0	36.2	55.7	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766214.8	19.904	252.090	185	Thermal Al2O3 STANDARD	
	254.3	199.9	199.0	199.9	200.0	36.1	55.6	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766217.8	19.916	255.091	185	Thermal Al2O3 STANDARD	
	256.3	199.9	199.0	199.9	200.0	36.1	55.6	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766220.8	19.952	258.091	185	Thermal Al2O3 STANDARD	
	260.3	199.9	199.1	200.0	200.0	36.2	55.6	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766223.8	19.867	261.091	185	Thermal Al2O3 STANDARD	
	262.3	200.0	199.1	200.0	200.0	36.2	55.6	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766226.8	19.861	264.091	185	Thermal Al2O3 STANDARD	
	266.3	200.0	199.1	200.0	200.1	36.2	55.5	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766229.8	19.897	267.091	185	Thermal Al2O3 STANDARD	
	268.3	199.9	199.1	200.0	200.0	36.2	55.5	27.5	 0.0	 0.0	28.2	 0.0	 0.0	766232.8	19.934	270.090	185	Thermal Al2O3 STANDARD	
	272.3	199.9	199.1	200.0	200.0	36.1	55.5	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766235.8	19.910	273.091	185	Thermal Al2O3 STANDARD	
	274.3	199.9	199.1	200.0	200.0	36.2	55.5	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766238.8	19.910	276.091	185	Thermal Al2O3 STANDARD	
	278.3	199.9	199.1	200.0	200.0	36.2	55.4	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766241.8	19.922	279.091	185	Thermal Al2O3 STANDARD	
	280.3	200.0	199.2	200.1	200.1	36.2	55.5	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766244.8	19.928	282.091	185	Thermal Al2O3 STANDARD	
	284.3	200.0	199.1	199.9	200.1	36.2	55.4	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766247.8	19.904	285.090	185	Thermal Al2O3 STANDARD	
	286.3	199.9	199.1	200.0	200.1	36.2	55.4	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766250.8	19.959	288.090	185	Thermal Al2O3 STANDARD	
	290.3	200.0	199.1	199.9	200.1	36.2	55.3	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766253.8	19.922	291.091	185	Thermal Al2O3 STANDARD	
	292.3	200.0	199.1	200.0	200.1	36.2	55.3	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766256.8	19.879	294.091	185	Thermal Al2O3 STANDARD	
	296.3	200.0	199.1	200.0	200.1	36.2	55.3	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766259.8	19.855	297.091	185	Thermal Al2O3 STANDARD	
	298.3	200.0	199.2	200.0	200.1	36.2	55.3	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766262.8	19.904	300.091	185	Thermal Al2O3 STANDARD	
	302.3	199.8	199.2	200.1	200.2	36.2	55.3	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766265.8	29.913	303.090	185	Thermal Al2O3 STANDARD	
